 Year Mon  Area
 1987  3  108.8
 1987  4  502.6
 1987  5  457.3
 1987  6  104.1
 1987  7  256.5
 1987  8  565.9
 1987  9  249.7
 1987 10  493.6
 1987 11  490.0
 1987 12  294.5
 1988  1  489.5
 1988  2  507.9
 1988  3  870.7
 1988  4 1032.7
 1988  5  492.3
 1988  6 1755.6
 1988  7 2044.0
 1988  8 1714.3
 1988  9 1220.8
 1988 10 1998.4
 1988 11 1593.2
 1988 12 2423.8
 1989  1 2952.2
 1989  2 2592.5
 1989  3 3054.7
 1989  4 1954.4
 1989  5 1824.1
 1989  6 3713.7
 1989  7 1503.4
 1989  8 3150.0
 1989  9 3308.7
 1989 10 2007.9
 1989 11 2489.2
 1989 12 2399.9
 1990  1 2080.1
 1990  2 1727.0
 1990  3 1826.8
 1990  4 1565.2
 1990  5 1872.4
 1990  6 1333.7
 1990  7 2074.3
 1990  8 3414.2
 1990  9 1662.3
 1990 10 1957.7
 1990 11 2793.5
 1990 12 2277.0
 1991  1 3211.4
 1991  2 3168.0
 1991  3 2794.1
 1991  4 1486.8
 1991  5 2275.7
 1991  6 2728.6
 1991  7 2525.4
 1991  8 2646.0
 1991  9 1635.2
 1991 10 2753.9
 1991 11 1370.1
 1991 12 3047.0
 1992  1 2413.4
 1992  2 2837.2
 1992  3 1271.3
 1992  4 1336.5
 1992  5  761.9
 1992  6  721.5
 1992  7 1201.3
 1992  8 1135.8
 1992  9  733.8
 1992 10 1411.3
 1992 11 1399.1
 1992 12  967.4
 1993  1  613.7
 1993  2 1550.5
 1993  3 1001.2
 1993  4  687.9
 1993  5  568.6
 1993  6  595.5
 1993  7  481.9
 1993  8  409.2
 1993  9  311.7
 1993 10  798.0
 1993 11  655.2
 1993 12  681.0
 1994  1 1030.1
 1994  2  438.0
 1994  3  171.2
 1994  4  120.9
 1994  5  251.5
 1994  6  196.0
 1994  7  295.4
 1994  8  216.8
 1994  9  390.1
 1994 10  523.9
 1994 11  113.4
 1994 12  337.4
 1995  1  185.6
 1995  2  235.5
 1995  3  315.2
 1995  4  142.8
 1995  5  189.7
 1995  6  136.7
 1995  7  149.0
 1995  8   82.2
 1995  9   54.6
 1995 10  269.6
 1995 11   90.1
 1995 12   64.6
 1996  1   74.1
 1996  2   16.9
 1996  3   49.2
 1996  4   22.4
 1996  5   47.9
 1996  6   83.5
 1996  7  163.5
 1996  8  130.1
 1996  9    5.1
 1996 10    1.8
 1996 11  277.7
 1996 12  110.6
 1997  1   10.8
 1997  2   38.0
 1997  3   51.0
 1997  4   86.8
 1997  5  116.5
 1997  6   60.7
 1997  7   38.8
 1997  8  149.5
 1997  9  726.1
 1997 10  131.4
 1997 11  632.3
 1997 12  481.0
 1998  1  257.9
 1998  2  308.0
 1998  3  810.2
 1998  4  520.8
 1998  5  673.8
 1998  6  679.0
 1998  7  690.1
 1998  8 1358.9
 1998  9 1331.9
 1998 10  469.2
 1998 11 1006.6
 1998 12 1050.5
 1999  1  634.5
 1999  2  937.0
 1999  3  655.7
 1999  4  460.1
 1999  5 1146.6
 1999  6 1690.3
 1999  7 1533.7
 1999  8 1397.3
 1999  9  609.9
 1999 10 1509.7
 1999 11 1871.8
 1999 12 1497.5
 2000  1  927.2
 2000  2 1460.5
 2000  3 2221.5
 2000  4 1862.9
 2000  5 2182.2
 2000  6 2093.5
 2000  7 2343.9
 2000  8 1082.5
 2000  9 1872.3
 2000 10  948.8
 2000 11 1351.0
 2000 12 1024.3
 2001  1  934.8
 2001  2  669.5
 2001  3 1671.0
 2001  4 1892.8
 2001  5 1109.2
 2001  6 1785.9
 2001  7  819.2
 2001  8 1619.0
 2001  9 3040.4
 2001 10 2128.9
 2001 11 2424.1
 2001 12 2354.3
 2002  1 1781.4
 2002  2 1637.0
 2002  3 1367.6
 2002  4 2053.3
 2002  5 2182.2
 2002  6 1346.8
 2002  7 2196.6
 2002  8 2527.2
 2002  9 2093.5
 2002 10 1799.5
 2002 11 1843.8
 2002 12 1115.9
 2003  1  987.7
 2003  2  474.0
 2003  3 1183.2
 2003  4 1107.9
 2003  5  950.6
 2003  6 1280.1
 2003  7 1177.4
 2003  8  948.8
 2003  9  593.6
 2003 10 2261.2
 2003 11 1594.1
 2003 12  632.3
 2004  1  762.8
 2004  2  619.9
 2004  3  700.0
 2004  4  439.6
 2004  5  627.3
 2004  6  593.6
 2004  7 1239.5
 2004  8  985.4
 2004  9  566.1
 2004 10  600.4
 2004 11  796.1
 2004 12  274.6
 2005  1  900.5
 2005  2  534.5
 2005  3  419.5
 2005  4  395.7
 2005  5  795.3
 2005  6  701.9
 2005  7  700.0
 2005  8  539.2
 2005  9  598.3
 2005 10   52.4
 2005 11  398.1
 2005 12  475.5
 2006  1  150.8
 2006  2   10.5
 2006  3   78.6
 2006  4  490.9
 2006  5  188.8
 2006  6  196.9
 2006  7  214.6
 2006  8  438.5
 2006  9  193.2
 2006 10   79.5
 2006 11  528.7
 2006 12  370.3
 2007  1  377.5
 2007  2  200.5
 2007  3   41.5
 2007  4  132.5
 2007  5  209.5
 2007  6  220.3
 2007  7  193.3
 2007  8   64.1
 2007  9   15.4
 2007 10    4.5
 2007 11    5.1
 2007 12  135.9
 2008  1   14.5
 2008  2    8.7
 2008  3  144.5
 2008  4   28.9
 2008  5   11.1
 2008  6    9.3
 2008  7    1.8
 2008  8    0.0
 2008  9    3.3
 2008 10   15.8
 2008 11   31.7
 2008 12    4.1
 2009  1    5.9
 2009  2    3.5
 2009  3    1.8
 2009  4    1.9
 2009  5    7.7
 2009  6   17.7
 2009  7   51.9
 2009  8    0.5
 2009  9   31.3
 2009 10   82.2
 2009 11   14.5
 2009 12   99.8
 2010  1  223.5
 2010  2  182.0
 2010  3  222.0
 2010  4   71.4
 2010  5   55.3
 2010  6   89.6
 2010  7  187.9
 2010  8  233.9
 2010  9  399.1
 2010 10  405.1
 2010 11  193.7
 2010 12  308.0
 2011  1  237.8
 2011  2  404.5
 2011  3  981.4
 2011  4  662.2
 2011  5  380.9
 2011  6  314.5
 2011  7  452.3
 2011  8  613.1
 2011  9 1205.4
 2011 10 1256.6
 2011 11 1536.6
 2011 12  949.5
 2012  1 1000.8
 2012  2  380.4
 2012  3  802.1
 2012  4  739.9
 2012  5 1047.1
 2012  6  768.0
 2012  7 1282.1
 2012  8  709.5
 2012  9  706.5
 2012 10  840.5
 2012 11  825.5
 2012 12  460.2
 2013  1  996.7
 2013  2  442.5
 2013  3  635.4
 2013  4 1116.3
 2013  5 1117.1
 2013  6  635.6
 2013  7  668.8
 2013  8  605.2
 2013  9  300.6
 2013 10 1180.5
 2013 11 1508.3
 2013 12 1122.3
 2014  1 1531.6
 2014  2 2015.8
 2014  3  999.9
 2014  4 1116.7
 2014  5  932.1
 2014  6  893.2
 2014  7 1210.3
 2014  8  783.1
 2014  9 1139.1
 2014 10 1718.4
 2014 11 1282.9
 2014 12 1402.7
 2015  1  994.5
 2015  2  498.0
 2015  3  518.7
 2015  4  689.3
 2015  5  629.1
 2015  6  846.5
 2015  7  518.9
 2015  8  701.4
 2015  9  642.6
 2015 10  445.7
 2015 11  371.5
 2015 12  569.5
 2016  1  372.6
 2016  2  377.0
 2016  3  298.1
 2016  4  571.2
 2016  5  491.8
 2016  6  217.9
 2016  7  335.1
 2016  8  308.2
 2016  9  341.6
